trial_num,prime,target,wordness
166,deer,nurge,False
167,jewel,fever,True
168,shelf,rabid,True
169,shirt,carty,False
170,Chicago,baseta,False
171,mountain,France,True
172,wind,oven,True
173,duck,usen,False
174,worl,hawk,False
175,Toronto,cherry,True
176,train,shart,False
177,onche,fox,False
178,Japan,doctor,True
179,chef,kocket,False
180,flute,vest ,True
181,neon,uncle,True
182,bus,lote,False
183,mom,husband,True
184,plague,river,True
185,rox,minute,False
186,tiger,coffee,True
187,harc,horse,False
188,van,rice,True
189,vest ,salt,True
190,hail,wolf,True
191,grief ,worm,True
192,oil,eudre,False
193,silat,day ,False
194,flu,pear,True
195,grape,dove,True
196,river,fox,True
197,ribbon,stoge,False
198,doctor,rain,True
199,worm,week,True
200,day ,sheep,True
201,bar,cootle,False
202,typhoon,squash,True
203,beef,cup,True
204,Berlin,perfume,True
205,hotel,worb,False
206,sluck,gloom,False
207,dessert,floud,False
208,water,horse,True
209,celery,barn,True
210,druss,horn,False
211,cousin,milk,True
212,curry,sodium,True
213,cereal,pity,True
214,cate,nose,False
215,diamond,gean,False
216,Egypt,teeth,True
217,tead,office,False
218,rain,apple,True
219,tin,rox,False
220,adfle,cotton ,False
221,tumor,ford,True
222,papad,oven,False
223,dad,church,True
224,night,carrot,True
225,zinc,hawk,True
226,copper,coss,False
227,period,gloom,True
228,cliff,celery,True
229,Cairo,jet,True
230,cabbage,flute,True
231,snow,trauma,True
232,mango,chili,True
233,bear,wasp,True
234,Bangkok,cousin,True
235,anger,ruoin,False
236,banana,forest,True
237,fluse,dove,False
238,chapel,curry,True
239,vanilla,clarinet,True
240,purse,plague,True
241,sister,ufface,False
242,apple,Cairo,True
243,wolf,secretary,True
244,gym,ship,True
245,vinegar,forn,False
246,dress,throat,True
247,mosquito,month,True
248,pork,melon,True
249,peach,clerk,True
250,aunt,floud,False
251,pity,Sydney,True
252,chili,mountain,True
253,fog,car,True
254,nickel,corron,False
255,guitar,arm,True
256,sun,attorney,True
257,teeth,belt,True
258,Austin,day ,True
259,bank,canal,True
260,onion,dad,True
261,sark,India,False
262,coalin,attorney,False
263,tornado,berry,True
264,owl,Korea,True
265,barbet,chair,False
266,plane,forn,False
267,lemon,worb,False
268,halm,priest,False
269,rabbit,flea,True
270,brother,sariu,False
271,cricket,cancer,True
272,silol,tornado,False
273,tutor,water,True
274,truck,hand,True
275,son,carpet,True
276,Korea,nausea,True
277,plum,sover,False
278,pear,nose,True
279,candy,spider,True
280,architect,banana,True
281,Seattle,mosquito,True
282,ear,grape,True
283,broccoli,fog,True
284,berry,zinc,True
285,wool,niote,False
286,beer,lote,False
287,clerk,taxi,True
288,finch,nylon,True
289,coalin,flu,False
290,worl,sea,False
291,oxygen,owl,True
292,dore,eagle,False
293,silver,Brazil,True
294,salad,cereal,True
295,iron,flood,True
296,Delhi,cucumber,True
297,whiskey,robin,True
298,island,cate,False
299,horse,mango,True
300,druss,banana,False
301,swan,radio,True
302,viola,cliff,True
303,car,typhoon,True
304,love,papad,False
305,office,mom,True
306,gloom,jean ,True
307,flea,gin,True
308,chimel,beach,False
309,carbon,dish,True
310,jacket,year,True
311,shock,bank,True
312,shick,ford,False
313,cabinet,sock,True
314,mercury,snow,True
315,coke,fatigue,True
316,lamp,broccoli,True
317,bee,cotton ,True
318,sover,squash,False
319,falcon,guitar,True
320,kocket,aluminum,False
321,dish,vanilla,True
322,ufface,chapel,False
323,rabid,roach,True
324,cave,Detroit,True
325,secretary,swan,True
326,cantot,hail,False
327,year,rabbit,True
328,India,table,True
329,cancer,canary,True
330,wallet,grief ,True
331,jakel,carbon,False
332,squash,soda,True
333,decade,peach,True
334,cucumber,blouse,True
335,century,Germany,True
336,cello,scane,False
337,sariu,lettuce,False
338,jet,chair,True
339,pery,penguin,False
340,arm,bug,True
341,shick,cherry,False
342,coat,scane,False
343,nose,office,True
344,library,Berlin,True
345,sea,Austin,True
346,mife,falcon,False
347,hornet,coss,False
348,carrot,syndrome,True
349,crow,sauce,True
350,dove,wind,True
351,cloud,wallet,True
352,blouse,onion,True
353,belt,purse,True
354,head,Seattle,True
355,Greece,worl,False
356,glove,iron,True
357,Detroit,son,True
358,stroke,cricket,True
359,pizza,harp,True
360,trauma,hour,True
