prime,target,same_category,wordness,soa,block
跑步,领带,False,True,0.35,3
农历,果汁,False,True,0.35,3
馅饼,馄饨,True,True,0.35,3
豹子,小号,False,True,0.15,3
巴黎,伦敦,True,True,0.15,3
果茶,黄衬,False,False,0.15,3
厨师,教师,True,True,0.15,3
公鸡,吉他,False,True,0.15,3
提琴,番茄,False,True,0.35,3
洪水,叔叔,False,True,0.35,3
流感,癌症,True,True,0.35,3
抽屉,椅子,True,True,0.35,3
闰月,跑步,False,True,0.35,3
地毯,天鹅,False,True,0.35,3
北京,耳环,False,True,0.15,3
流感,伦敦,False,True,0.15,3
螳螂,肺炎,False,True,0.15,3
华沙,米酒,False,True,0.15,3
海洋,河流,True,True,0.15,3
五月,枕头,False,True,0.35,3
西瓜,警华,True,False,0.35,3
海鸥,鼻马,True,False,0.15,3
电视,蛋糕,False,True,0.15,3
电灯,地毯,True,True,0.15,3
围巾,埃丧,False,False,0.15,3
长号,六击,False,False,0.15,3
番茄,姐姐,False,True,0.35,3
芒果,偏瘫,False,True,0.15,3
菠萝,厨师,False,True,0.15,3
十月,地毯,False,True,0.35,4
顶部,前面,True,True,0.35,4
火车,拳击,False,True,0.15,4
肺炎,右边,False,True,0.15,4
东南,潜艇,False,True,0.35,4
巴士,电车,True,True,0.15,4
蚂蚱,麋鸭,True,False,0.15,4
奶茶,牛奶,True,True,0.15,4
生菜,运河,False,True,0.15,4
上边,东南,True,True,0.15,4
眼睛,料卖,False,False,0.15,4
摩托,飞机,True,True,0.35,4
麻雀,乌鸦,True,True,0.15,4
汽车,轮船,True,True,0.35,4
沙拉,桃子,False,True,0.15,4
愉快,电视,False,True,0.35,4
老鹰,皮包,False,True,0.35,4
沮丧,韩国,False,True,0.35,4
袜子,乌鸦,False,True,0.15,4
眼睛,四月,False,True,0.35,4
印度,川皮,False,False,0.15,4
香料,胡椒,True,True,0.35,4
额头,南瓜,False,True,0.15,4
冰雹,雪花,True,True,0.15,4
馄饨,企感,False,False,0.35,4
短裙,裤子,True,True,0.35,4
苍蝇,埃及,False,True,0.35,4
洋葱,韩国,False,True,0.35,4
生姜,胡椒,True,True,0.35,4
袜子,沮丧,False,True,0.15,4
韩国,顶部,False,True,0.35,4
激动,苦面,False,False,0.35,4
泰国,英国,True,True,0.15,4
甲虫,表哥,False,True,0.15,4
表姐,汽国,True,False,0.15,4
愉快,胳熊,True,False,0.35,4
肺炎,疟疾,True,True,0.35,4
米酒,拳击,False,True,0.35,4
包子,毛虫,False,True,0.15,4
鹦鹉,老鹰,True,True,0.35,4
洪水,雷雨,True,True,0.15,4
大腿,耳朵,True,True,0.15,4
表姐,儿子,True,True,0.35,4
袜子,链水,False,False,0.15,4
豌豆,水沙,True,False,0.15,4
钢琴,小号,True,True,0.15,4
足球,蜜开,False,False,0.15,4
曼谷,雅典,True,True,0.15,4
疟疾,底部,False,True,0.35,4
鸭子,叔虫,True,False,0.35,4
沙拉,手滑,True,False,0.35,4
潜艇,台泰,True,False,0.35,4
姐姐,森国,True,False,0.35,4
卡车,糕裤,False,False,0.35,4
困惑,蕉衣,False,False,0.15,4
感冒,哥生,True,False,0.15,4
奶牛,松鼠,True,True,0.15,4
悲伤,桃虫,True,False,0.15,4
果茶,绿茶,True,True,0.15,4
美国,埃及,True,True,0.15,4
皮带,馄饨,False,True,0.35,4
巴黎,子管,True,False,0.35,4
洋葱,头歌,False,False,0.15,4
教师,桃子,False,True,0.35,4
啤酒,咖啡,True,True,0.35,4
电视,潜艇,False,True,0.15,4
芒果,黄油,False,True,0.35,4
洋葱,黄瓜,True,True,0.35,4
西装,领带,False,True,0.15,4
毛虫,蚂蚱,True,True,0.15,4
嫉妒,毛虫,False,True,0.35,4
香水,哥果,False,False,0.35,4
皮带,外套,False,True,0.15,4
阳光,戒指,False,True,0.35,4
阳光,洪水,True,True,0.15,4
抽屉,河流,False,True,0.15,4
馅饼,胡椒,False,True,0.15,4
火山,海岸,True,True,0.15,4
乌鸦,企鹅,True,True,0.15,4
卡车,车耳,False,False,0.15,4
警察,护士,True,True,0.35,4
小号,提琴,True,True,0.35,4
牙医,蚊子,False,True,0.35,4
戒指,乌鸦,False,True,0.15,4
狮子,纽约,False,True,0.35,4
东北,底部,True,True,0.15,4
短裙,裤子,True,True,0.35,4
叔叔,表姐,True,True,0.15,4
希腊,啤酒,False,True,0.35,4
胳膊,眼睛,True,True,0.15,4
