trial_num,prime,target,wordness
280,牙医,香蕉,True
281,雅典,蚊子,True
282,耳朵,葡萄,True
283,菠菜,大雾,True
284,草莓,右边,True
285,毛衣,梨公,False
286,啤酒,海嫉,False
287,警察,地铁,True
288,麻雀,内裤,True
289,上农,流感,False
290,香二,海洋,False
291,后面,翠鸟,True
292,乌流,公鸡,False
293,东北,泰国,True
294,沙拉,面条,True
295,西北,洪水,True
296,德里,黄瓜,True
297,米酒,海鸥,True
298,海岸,大冰,False
299,斑马,芒果,True
300,网南,香蕉,False
301,天鹅,电视,True
302,圆号,瀑布,True
303,汽车,台风,True
304,幸福,椅律,False
305,拳击,妈妈,True
306,沮丧,裤子,True
307,苍蝇,果酒,True
308,火感,沙滩,False
309,前面,窗帘,True
310,夹克,一月,True
311,困惑,足球,True
312,击牙,马车,False
313,橱柜,袜子,True
314,上边,雪花,True
315,红茶,疟疾,True
316,电灯,菠菜,True
317,蜜蜂,短裤,True
318,芒癫,南瓜,False
319,鹦鹉,吉他,True
320,香酱,下边,False
321,窗帘,香草,True
322,咖内,网球,False
323,癫痫,螳螂,True
324,冰川,釜山,True
325,秘书,天鹅,True
326,袜吉,冰雹,False
327,一月,奶牛,True
328,印度,桌子,True
329,癌症,孔雀,True
330,皮包,难过,True
331,十长,前面,False
332,南瓜,果茶,True
333,闰月,桃子,True
334,黄瓜,西装,True
335,八月,德国,True
336,古筝,芒癫,False
337,手莴,莴苣,False
338,摩托,椅子,True
339,牛老,企鹅,False
340,胳膊,臭虫,True
341,冰河,樱桃,False
342,外套,西鸽,False
343,鼻子,拳击,True
344,跑步,柏林,True
345,海洋,伦敦,True
346,日台,鹦鹉,False
347,蝴蝶,火感,False
348,萝卜,偏瘫,True
349,乌鸦,酱油,True
350,鸽子,大风,True
351,打雷,皮包,True
352,西装,生姜,True
353,皮带,钱包,True
354,额头,雅典,True
355,希腊,歌困,False
356,手套,西北,True
357,釜山,儿子,True
358,中风,蚂蚱,True
359,馅饼,竖琴,True
360,头痛,七月,True
